127.0.0.1 - - [04/Sep/2020:10:32:39 -0500] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [04/Sep/2020:10:32:58 -0500] "OPTIONS /project1/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:10:33:00 -0500] "POST /project1/login HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [04/Sep/2020:10:33:00 -0500] "OPTIONS /project1/login/check HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:10:33:00 -0500] "POST /project1/login/check HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [04/Sep/2020:10:34:02 -0500] "OPTIONS /project1/login/check HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:10:34:02 -0500] "POST /project1/login/check HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [04/Sep/2020:10:34:02 -0500] "POST /project1/login/check HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [04/Sep/2020:10:34:05 -0500] "POST /project1/login/check HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [04/Sep/2020:10:34:05 -0500] "POST /project1/login/check HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [04/Sep/2020:10:36:29 -0500] "OPTIONS /project1/login/check HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:10:36:29 -0500] "POST /project1/login/check HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [04/Sep/2020:10:36:29 -0500] "POST /project1/login/check HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [04/Sep/2020:10:36:38 -0500] "OPTIONS /project1/login/check HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:10:36:38 -0500] "POST /project1/login/check HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [04/Sep/2020:10:36:38 -0500] "POST /project1/login/check HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [04/Sep/2020:10:37:06 -0500] "OPTIONS /project1/login/check HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:10:37:06 -0500] "POST /project1/login/check HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [04/Sep/2020:10:37:12 -0500] "OPTIONS /project1/login/check HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:10:37:12 -0500] "POST /project1/login/check HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [04/Sep/2020:10:37:46 -0500] "OPTIONS /project1/login/check HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:10:37:46 -0500] "POST /project1/login/check HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [04/Sep/2020:10:37:51 -0500] "POST /project1/login/check HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [04/Sep/2020:10:37:53 -0500] "OPTIONS /project1/login/check HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:10:37:53 -0500] "POST /project1/login/check HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [04/Sep/2020:10:38:12 -0500] "OPTIONS /project1/login/check HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:10:38:12 -0500] "POST /project1/login/check HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [04/Sep/2020:10:38:14 -0500] "POST /project1/login/check HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [04/Sep/2020:10:38:14 -0500] "POST /project1/login/check HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [04/Sep/2020:10:38:14 -0500] "POST /project1/login/check HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [04/Sep/2020:10:38:14 -0500] "POST /project1/login/check HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [04/Sep/2020:10:38:14 -0500] "POST /project1/login/check HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [04/Sep/2020:10:38:14 -0500] "POST /project1/login/check HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [04/Sep/2020:10:38:15 -0500] "POST /project1/login/check HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [04/Sep/2020:10:38:15 -0500] "POST /project1/login/check HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [04/Sep/2020:10:38:15 -0500] "POST /project1/login/check HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [04/Sep/2020:10:38:15 -0500] "POST /project1/login/check HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [04/Sep/2020:10:38:28 -0500] "OPTIONS /project1/login/check HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:10:38:28 -0500] "POST /project1/login/check HTTP/1.1" 400 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:10:38:31 -0500] "POST /project1/login/check HTTP/1.1" 400 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:10:38:33 -0500] "OPTIONS /project1/login/check HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:10:38:33 -0500] "POST /project1/login/check HTTP/1.1" 400 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:10:47:37 -0500] "OPTIONS /project1/login/check HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:10:47:37 -0500] "POST /project1/login/check HTTP/1.1" 400 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:10:54:16 -0500] "OPTIONS /project1/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:10:54:16 -0500] "POST /project1/login HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [04/Sep/2020:10:54:16 -0500] "OPTIONS /project1/login/check HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:10:54:16 -0500] "POST /project1/login/check HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [04/Sep/2020:10:54:42 -0500] "OPTIONS /project1/login/check HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Sep/2020:10:54:42 -0500] "POST /project1/login/check HTTP/1.1" 200 137
